Species,Common name,Scientific name,Price,date
Snakes,Baby Coastal Carpet Python,Morelia spilota mcdowelli,$99.99,06. Nov 19 
Snakes,Meruke Amethystine Python,Morelia amethystina,$299.99,06. Nov 19 
Inverts,Budwing Mantis,Parasphendale Budwing,$34.99,06. Nov 19 
Turtles,Ornate Wood Turtle,Rhinoclemmys pulcherimma manni,$39.99,06. Nov 19 
Snakes,Baby Lavendar Flame Brooks Kingsnake,Lampropeltis getula brooksi,$124.99,06. Nov 19 
Inverts,Thai Giant Walking Stick Insect,Pharnacia sp.,$24.99,06. Nov 19 
Turtles,Baby Mississippi Mud Turtle,Kinosternon subrubrum hippocrepis,$29.99,06. Nov 19 
Turtles,Baby Pastel Florida Softshell Turtle,Apalone ferox,$49.99,05. Nov 19 
Lizards,Yellow Throated Plated Lizard,Gerrhosaurus flavigularis,$19.99,05. Nov 19 
Inverts,Tunisian Fat Tail Scorpion,Androctonus australis,$39.99,05. Nov 19 
Tegus,Baby Caiman Lizard,Dracaena guianensis,$499.99,05. Nov 19 
Amphibians,Melanoid Axolotl,Ambystoma mexicanum,$24.99,05. Nov 19 
Snakes,Eastern Blue Garter Snake,Thamnophis sirtalis similis,$49.99,05. Nov 19 
Lizards,Roundtail Horned Lizard,null,$249.99,08. Oct 19 
Geckos,Baby Aptor Leopard Gecko,Eublepharis macularius,$39.99,08. Oct 19 
Snakes,Baby Mexican Milksnake,Lampropeltis triangulum annulata,$49.99,07. Oct 19 
Snakes,Baby Dice Water Snake,Natrix tessellata,$24.99,07. Oct 19 
Amphibians,Colorado River Toad,Incilius alvarius,$39.99,06. Oct 19 
Snakes,Baby Cyclops Mountain Green Tree Python,Morelia viridis,$449.99,06. Oct 19 
Venomous,Papuan Black Snake,null,$799.99,06. Oct 19 
Inverts,Mexican Red Leg Tarantula,Brachypelma emilia,$149.99,06. Oct 19 
Lizards,Baby Inferno Bearded Dragon,Pogona vitticeps,$74.99,05. Oct 19 
Lizards,Graceful Chameleon,Chamaeleo Gracilis,$14.99,05. Nov 19 
Snakes,Queen Snake,null,$34.99,05. Nov 19 
Amphibians,Phyllobates aurotaenia,Phyllobates aurotaenia,$24.99,05. Nov 19 
Amphibians,Cave Salamander,Eurycea lucifuga,$39.99,05. Nov 19 
Lizards,Crested Dragon,null,$29.99,05. Nov 19 
Lizards,Monkey Tailed Skink,null,$849.99,05. Nov 19 
Snakes,Baby Caramel Motley Cornsnake,Pantherophis guttatus,$59.99,05. Nov 19 
Snakes,Baby Pied Ball Python,null,$349.99,05. Nov 19 
Snakes,Baby Scaleless Everglades Ratsnake,Elaphe obsoleta rossalleni,$149.99,05. Nov 19 
Inverts,South American Bark Scorpion,Tityus Paramensis,$64.99,05. Nov 19 
Turtles,Baby Southern Painted Turtle,Chrysemys picta dorsalis,$29.99,05. Nov 19 
Lizards,Pygmy Mulga Monitor,Varanus gilleni,$349.99,05. Nov 19 
Snakes,Baby Brazilian Rainbow Boa,Epicrates cenchria,$199.99,05. Nov 19 
Lizards,Senegal Chameleon,Chamaeleo senegalensis,$29.99,05. Nov 19 
Lizards,Guyana Collard Lizard,Tropidurus hispidus,$14.99,05. Nov 19 
Snakes,Baby Albino Sinaloan Milksnake,Lampropeltis triangulum,$74.99,30. Sep 19 
Lizards,Zebra Tailed Lizards,null,$14.99,30. Sep 19 
Amphibians,Super Blue Auratus Dart Frog,Dendrobates auratus,$39.99,30. Sep 19 
Venomous,Baby Albino Het Scaleless Western Diamondback Rattlesnake,Crotalus atrox,$349.99,30. Sep 19 
Inverts,Black Fat Tail Scorpion,null,$34.99,30. Sep 19 
Snakes,Baby Irian Jaya Zebra Carpet Python,Morelia spilota variegata x cheynei,$174.99,29. Sep 19 
Lizards,South African Flat Rock Lizard,Platysaurus guttatus,$29.99,28. Sep 19 
Snakes,Baby Black Blood Python,Python curtus,$149.99,27. Sep 19 
Geckos,Yellow-Headed Dwarf Gecko,Gonatodes albogularis fuscus,$39.99,27. Sep 19 
Lizards,Boehme’s Two-Horned Chameleon,null,$74.99,26. Sep 19 
Turtles,Baby Rio Grande Red Ear Slider Turtle,Trachemys scripta elegans,$19.99,04. Nov 19 
Lizards,Uromastyx Princeps,null,"$1,199.99",04. Nov 19 
Inverts,Giant African Mantis,null,$24.99,04. Nov 19 
Lizards,Baby Grand Cayman Blue Iguana,null,$399.99,04. Nov 19 
Inverts,Goliath Birdeater Tarantula,Theraphosa stirmi,$59.99,04. Nov 19 
Inverts,Red Spotted Assassin Bug,null,$39.99,04. Nov 19 
Inverts,Carolina Praying Mantis,Stagmomantis carolina,$14.99,04. Nov 19 
Snakes,Jayapura Green Tree Python,Morelia viridis,$599.99,04. Nov 19 
Lizards,6-8 Inch Red Leatherback Bearded Dragon,Pogona vitticeps,$59.99,04. Nov 19 
Turtles,Baby Mexican Ornate Slider Turtle,Trachemys venusta venusta,$24.99,04. Nov 19 
Lizards,Ornate Uromastyx,null,$249.99,04. Nov 19 
Lizards,6 To 8 Inch High White Translucent Veiled Chameleon,Chamaeleo calyptratus,$59.99,04. Nov 19 
Inverts,Brazilian Red And White Tarantula,Lasiodora cristata,$34.99,04. Nov 19 
Snakes,Baby Ghost Western Hognose Snake,Heterodon nasicus,$449.99,04. Nov 19 
Lizards,Baby Northern Blue Tongue Skink,T. scincoides intermedia,$399.99,04. Nov 19 
Snakes,Baby Peanut Butter Pink Pearl Snow Kingsnake,Lampropeltis getula floridana,$249.99,04. Nov 19 
Geckos,Baby Blizzard Leopard Gecko,Eublepharis macularius,$39.99,04. Nov 19 
