Species,Common name,Scientific name,Price,months
Geckos,Yellow-Headed Dwarf Gecko,Gonatodes albogularis fuscus,$39.99,8
Lizards,Boehme’s Two-Horned Chameleon,,$74.99,8
Turtles,Baby Rio Grande Red Ear Slider Turtle,Trachemys scripta elegans,$19.99,10
Lizards,Uromastyx Princeps,,"$1,199.99",10
Inverts,Giant African Mantis,,$24.99,10
Lizards,Baby Grand Cayman Blue Iguana,,$399.99,10
Inverts,Goliath Birdeater Tarantula,Theraphosa stirmi,$59.99,10
Inverts,Red Spotted Assassin Bug,,$39.99,10
Inverts,Carolina Praying Mantis,Stagmomantis carolina,$14.99,10
Snakes,Jayapura Green Tree Python,Morelia viridis,$599.99,10
Lizards,6-8 Inch Red Leatherback Bearded Dragon,Pogona vitticeps,$59.99,10
Turtles,Baby Mexican Ornate Slider Turtle,Trachemys venusta venusta,$24.99,10
Lizards,Ornate Uromastyx,,$249.99,10
Lizards,6 To 8 Inch High White Translucent Veiled Chameleon,Chamaeleo calyptratus,$59.99,10
Inverts,Brazilian Red And White Tarantula,Lasiodora cristata,$34.99,10
Snakes,Baby Ghost Western Hognose Snake,Heterodon nasicus,$449.99,10
Lizards,Baby Northern Blue Tongue Skink,T. scincoides intermedia,$399.99,10
Snakes,Baby Peanut Butter Pink Pearl Snow Kingsnake,Lampropeltis getula floridana,$249.99,10
Geckos,Baby Blizzard Leopard Gecko,Eublepharis macularius,$39.99,10
Inverts,Borneo Purple Earth Tiger Tarantula,Cyriopagopus hati hati,$39.99,10
Venomous,Mexican Beaded Lizard,Heloderma horridum,$999.99,8
Lizards,Armadillo Lizard,Cordylus Tropidosternum,$19.99,8
Lizards,Baby Merauke Blue Tongue Skink,Tiliqua gigas,$149.99,8
Inverts,Malaysian Prickly Stick Insect,Heteropteryx dilatata,$24.99,8
Snakes,Baby Bredl Jaguar Carpet Python,Morelia spilota,$149.99,8
Lizards,Baby Argus Monitor,Varanus panoptes,$349.99,8
Venomous,Baby Cape Coral Cobra,Aspidelaps lubricus lubricus,$299.99,8
Snakes,Baby Blotched Kingsnake,Lampropeltis getula goini,$59.99,8
Lizards,Great AngleHead Lizard,Gonocephalus grandis,$49.99,8
Amphibians,Chubby Frog,,$12.50,10
Lizards,Abronia Vasconcelosii,Abronia vasconcelosii,$499.99,10
Snakes,Baby Candino Ball Python,Python regius,$249.99,10
Snakes,Yearling San Marcos Island Rosy Boa,Lichanura trivirgata trivirgata,$124.99,10
Lizards,Timor Monitor,Varanus timorensis,$149.99,10
Lizards,Baby Panda Dragons,,$449.99,10
Inverts,Venezuelan Redstripe Pink Toe Tarantula,Avicularia minatrix,$54.99,10
Tortoises,Baby Indian Star Tortoise,,$349.99,10
Amphibians,C.B. Baby Australian Dumpy Tree Frog,Litoria caerulea,$19.99,10
Geckos,Crocodile Gecko,Tarentola mauritanica,$19.99,10
Geckos,Fringe Fingered Gecko,Ptyodactylus guttatus(ragazzii),$14.99,10
Lizards,Desert Agama,Trapelus mutabilis,$59.99,10
Inverts,Colombian Giant Copperhead Tarantula,Pamphobeteus fortis,$149.99,10
Amphibians,Blotched Tiger Salamander,Ambystoma tigrinum melanostictum,$24.99,10
Amphibians,Blue Sipaliwini Tinctorius Dart Frog,Dendrobates tinctorius,$39.99,10
Snakes,Baby Caramel Snow Western Hognose Snake,,$699.99,10
Turtles,Caramel Pink Albino Red Ear Slider Turtle,,"$1,199.99",10
